confidence,label,metadata_json,source,target,workspace_id
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":10}}",building:building:1,block:block:10,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":20}}",building:building:2,block:block:20,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":21}}",building:building:2,block:block:21,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":30}}",building:building:1,shared_space:shared_space:30,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":31}}",building:building:1,shared_space:shared_space:31,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":32}}",building:building:1,shared_space:shared_space:32,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":33}}",building:building:2,shared_space:shared_space:33,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":34}}",building:building:2,shared_space:shared_space:34,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":35}}",building:building:2,shared_space:shared_space:35,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":40}}",building:building:1,shared_equipment:shared_equipment:40,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":41}}",building:building:1,shared_equipment:shared_equipment:41,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":42}}",building:building:2,shared_equipment:shared_equipment:42,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":2,""target_entity_id"":43}}",building:building:2,shared_equipment:shared_equipment:43,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":31,""target_entity_id"":40}}",shared_space:shared_space:31,shared_equipment:shared_equipment:40,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":31,""target_entity_id"":41}}",shared_space:shared_space:31,shared_equipment:shared_equipment:41,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":33,""target_entity_id"":42}}",shared_space:shared_space:33,shared_equipment:shared_equipment:42,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":33,""target_entity_id"":43}}",shared_space:shared_space:33,shared_equipment:shared_equipment:43,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":10,""target_entity_id"":100}}",block:block:10,unit:unit:100,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":100}}",building:building:1,unit:unit:100,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":10,""target_entity_id"":101}}",block:block:10,unit:unit:101,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":101}}",building:building:1,unit:unit:101,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":10,""target_entity_id"":102}}",block:block:10,unit:unit:102,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":102}}",building:building:1,unit:unit:102,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":10,""target_entity_id"":103}}",block:block:10,unit:unit:103,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":103}}",building:building:1,unit:unit:103,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":10,""target_entity_id"":104}}",block:block:10,unit:unit:104,immeuble
1,CONTAINS,"{""source"":""fake_data"",""relation_contract"":{""edge_label"":""CONTAINS"",""source_entity_id"":1,""target_entity_id"":104}}",building:building:1,unit:unit:104,immeuble
